,address,categories,city,country,latitude,longitude,name,postalCode,province,reviews.date,reviews.dateAdded,reviews.doRecommend,reviews.id,reviews.rating,reviews.text,reviews.title,reviews.userCity,reviews.username,reviews.userProvince
12861,1071 E El Camino Real,Hotels,Sunnyvale,US,37.352307,-122.00324199999999,Cherry Orchard Inn,94087,CA,2015-07-26T00:00:00Z,2016-11-11T04:41:27Z,,,4.0,"All Staff were very nice, Room was clean, Breakfast was tasty.",Fine but not great,,A Traveler,
4840,480 King St,"Hotels,Hotel",Alexandria,US,38.80474,-77.04455,"The Alexandrian, Autograph Collection",22314,VA,2016-03-18T00:00:00Z,2017-04-20T01:34:00Z,,,5.0,"From the time we walked into the hotel until we left with our bags after check out, the staff at this location was nothing less than fantastic! They made us feel important and addressed any concern we had with immediate attention. I was filling out a survey about the hotel, and left a less than satisfied mark on the questionnaire. Within 5 minutes, I received a call from the front desk and an email. My problem? We were 20 mins away from where our plans were. Even though it had nothing to do with them, this hotel was all about making our visit enjoyable. Kudos to the front desk, cleaning staff, and everyone else that works at this place!",It's all about service,,A verified traveler,Johnstown PA
29683,100 S 4th St,Hotels,Huntingdon,US,40.48387,-78.01093,Comfort Inn Huntingdon,16652,PA,2016-04-02T00:00:00Z,2016-11-15T19:34:28Z,,,3.0,"bathroom toilet seat wiggled, my wife sat on it and wrenched her back and it is still sore today! No light bulb in desk lamp.",Toilet seat wiggles,Chicago,A Traveler,IL
23585,345 Griffin Bell Dr,Hotels,Hopkinsville,US,36.81071,-87.49478,La Quinta Inn and Suites Hopkinsville,42240,KY,2016-04-08T00:00:00Z,2016-10-29T20:22:03Z,,,5.0,The hotel was very nice. Looked newly remolded. Will definitely stay there again!,Fabulous staff,,Jennifer,
31759,450 Raynolds St,Hotels,El Paso,US,31.77634,-106.43274,Americas Best Value Inn - Medical Center/airport,79905,TX,2016-09-13T00:00:00Z,2016-11-21T15:58:38Z,,,5.0,"Felt welcome. Most important, the room was very clean with nice decor. Temperature was adjustable and muffed the freeway noise. Hallway was spotless, well-lit, and the lobby was also spotless.",Great place to stay while passing through,,A Traveler,
20368,2600 Crystal Dr,Hotels,Arlington,US,38.849447,-77.050946,Concord Apartments By Boq Lodging,22202,VA,2011-07-02T00:00:00Z,2017-03-15T18:55:07Z,,,,Hands down best Steak & Cheese sandwich!!,,,Claudia Gutierrez,
23348,600 E Columbia River Hwy,"Hotels,Lodging,Resorts,Bed & Breakfast & Inns",Clatskanie,US,46.102,-123.19881000000001,Clatskanie River Inn,97016,Mist,2014-08-19T00:00:00Z,2016-11-16T03:58:52Z,,,5.0,Overall I was very satisified.,Pleasant stay,Columbus,A Traveler,IN
6506,12085 Delaware St,Hotels,Denver,US,39.915085999999995,-104.992635,Quality Inn & Suites,80234,Westminster,2015-12-29T00:00:00Z,2016-11-15T10:34:42Z,,,5.0,"Everything was great like we expected except the pool was malfunctioning and really cold! My granddaughter and I always stay here for our girls' night out and have never been disappointed until this trip. We will return because it is a great hotel with very friendly staff and a good breakfast. The pool and hot tub are rarely crowded, usually in good condition, and add immensely to our fun time together!",Girls' Night Out,,A Traveler,
28945,355 Santana Row,"Hotels,Hotel, Bar, and Hotel Bar",San Jose,US,37.32098,-121.9479,Hotel Valencia Santana Row,95128,CA,2016-02-05T00:00:00Z,2016-11-17T15:13:00Z,,,5.0,I suggest they put towel hangers close to the shower,Memorial weekend get-away,Toronto,Liliana,WI
25681,1379 Washington Ave,"Hotels,Hotel",Albany,US,42.686743,-73.815101,Towneplace Suites Albany University Area,12206,NY,2014-07-07T00:00:00Z,2016-12-15T19:38:59Z,,,4.0,"Not enough supplies in the kitchen. Only 2 forks, no wine glasses and one of the chairs at the table had a nail sticking out of it",central location from the Thruway,new york city,Lauria,
23253,121 E Arrellaga St,Hotels,Santa Barbara,US,34.428888,-119.707704,Simpson House Inn,93101,CA,2015-09-13T00:00:00Z,2016-11-15T21:06:40Z,,,4.0,"We are not ordinarily bed breakfast people, but the TripAdvisor reviews and location of this property (convenient to State Street, the main street in Santa Barbara) convinced me to give it a try. We were not disappointed. The property is absolutely beautiful -- like a hidden garden respite in a Santa Barbara neighborhood. We reserved the Garden Room and... More",Delightful!,Camarillo,ATP1,CA
12549,361 17TH Saint Atlantic Sta,"Hotels & Motels,Tourist Hotels,Boutique Hotels,restaurants",Atlanta,US,33.79156,-84.398014,Twelve Hotels & Residences,30363,GA,2007-12-14T06:00:00Z,2016-11-17T20:45:01Z,,,4.0,"I went to Lobby at TWELVE this past weekend with my boyfriend and we had such a wonderful time. We ate at the bar great atmosphere The pizzas were delicious, and we experimented with some new cocktails, too. Definitely try The Elevator you cant go wrong.",Great Pizza,,atlantaeats,
18434,349 N Fork Hwy,"Hotels,Lodging,Motels,Resorts",Cody,US,44.517140000000005,-109.0812,Shoshone Lodge,82414,WY,,2016-06-22T19:07:18Z,,,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood,,,write a review,
11550,3917 Ridgemont Dr,Hotels,Abilene,US,32.40399,-99.76546,Hampton Inn Abilene,79606,TX,2016-08-25T00:00:00Z,2016-10-30T19:17:06Z,,,1.0,"The positive Clean, comfortable room Decent front desk service Decent morning breakfast Free WIFI, with OK speeds The negative Room not cleaned Breakfast area not maintained, food cold, food left uncovered Fire hazard (picture attached) Front desk did not honor guarantee, and advised I must deal with Hotels.com to resolve/complain.",Clean and friendly,Trinity,Stan,TX
33272,1400 Roebuck Dr,Hotels,Meridian,US,32.350392,-88.691659,La Quinta Inn and Suites Meridian,39301,Meeham,2016-04-26T00:00:00Z,2016-11-16T03:54:39Z,,,4.0,Stopped for night on way to Nashville with family. Only in hotel long enough to sleep shower and then hit the road next day. Was perfect for my family and I for one night,Nice and Clean - great value - worth every penny,Murfreesboro,Aaron,
18751,1701 N Moore Ave,"Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Accommodation Reservations,Hotel & Motel Reservations,Extended Stay,Accommodations & Lodging,Lodging,Hotels Motels,Family-friendly Hotels,Conventions Conferences & Trade Shows,Hotels,Hotels & Motels,Weekend Getaway Hotels,Tourist Hotels,Motels",Moore,US,35.351797,-97.495296,Candlewood Suites Oklahoma City-moore,73160-3669,OK,2015-09-01T00:00:00Z,2017-04-02T18:04:32Z,,,5.0,checked in flawlessly. i want to emphasize how friendly the staff are here.,"Great room, location, and stay!",Roland,Corri G,TN
1043,4963 Southport Supply Rd,Hotels,Southport,US,33.9534,-78.0521,Comfort Suites Southport,28461,Blng Spg Lks,2015-05-23T00:00:00Z,2016-11-09T01:09:30Z,,,3.0,The only problem we had was that the key machine wasn't working so every time we wanted to go back to our room we had to escorted and wait for someone to do so or which was very irritating while on our honeymoon!!!!!!,The key machine wasn't working-- irritating,,SHATRINA,
26939,3107 Atlantic Ave,"Hotel,Hotels",Virginia Beach,US,36.859787,-75.97803499999999,Hampton Inn Virginia Beach Oceanfront North,23451-2934,VA,2016-07-06T00:00:00Z,2016-11-21T23:26:38Z,,,4.0,Views n Staff people was great overall I liked it,Nice location,Mechanicsville,s,VA
18325,1305 Lowell Ave,Hotels,Park City,US,40.65143,-111.50603999999998,Marriott's Mountainside At Park City,84060,UT,2014-10-24T00:00:00Z,2016-10-30T18:47:46Z,,,5.0,Great hot tubs! Loved the morning donuts and juice.,Great weekend get away,,Janis,
26074,3 Rue Verniquet,Hotels,Irving,US,48.886905,2.3005709999999997,Best Western Hotel De Neuville,75017,TX,2014-11-20T00:00:00Z,2016-11-01T01:10:00Z,,,5.0,"Amazing hotel, the staff were nice and helpful. Free wi-fi and possibly the worlds smallest elevator. Note: The metro station nearest to the hotel is Pereire, however if you want an impressive entrance to Paris, Charles De Gaulle, toile is the metro near the Arc de Triomphe.",City Hotel; away from the Tourists.,,Nigel,
20754,850 Bayview Ave,"Hotels,Casinos",Biloxi,US,30.411692,-88.890249,Ip Casino Resort Spa,39530,MS,2016-08-26T00:00:00Z,2017-03-02T17:51:10Z,,,3.0,It was okay. Room could've a microwave and better view and better fridge for the price that we paid. I requested a king size bed but I arrived they gave me a queen bed. That was a big strike. Bed was uncomfortable.,Wasn't happen what the stay,,A Traveler,
15097,95 Route 17k,Hotels,Newburgh,US,41.505388,-74.073291,Howard Johnson Inn - Newburgh,12550-5009,NY,2015-08-09T00:00:00Z,2017-04-17T01:54:07Z,,,4.0,At first sight was a little taken aback as it looked like it was abandoned. After checking in we discovered that it was very clean and the room was very clean and spacious. Also very quite. The hotel staff was very helpful and nice,HoJo   Newburgh,Weipa,A verified traveler,Evergreen park Illinois
5622,480 King St,"Hotels,Hotel",Alexandria,US,38.80474,-77.04455,"The Alexandrian, Autograph Collection",22314,VA,2009-08-14T00:00:00Z,2017-04-20T01:34:00Z,,,4.0,"Loved the decor and the location.  I especially loved that the hotel is pet friendly, and the late check out time.The walls are a little too thin, making it very easy to hear what's going on in the hall while trying to sleep.",Worth a stay,,Christine,Campbell CA USA
9304,126 N Ocean Blvd,Hotels,Delray Beach,US,26.464654,-80.058094,Berkshire By The Sea A Vri Resort,33483,FL,2015-11-25T00:00:00Z,2017-03-17T19:10:08Z,,,4.0,Traded for week at Berkshire by the Sea. We stayed there twice in the last few years and things were about the same. The one bedroom suites are quaint(they look their age)and look to be a trip back to the early 80's. We brought the boat down to fish and the property manager was very nice and arranged parking for... More,Close to the Beach!,Raleigh,ChuckieC,MI
31128,1407 E Rusk St,Hotels & Motels,Jacksonville,US,31.964827000000003,-95.254599,Homeplace Inn and Suites,75766,Enterprise,2008-10-06T00:00:00Z,2016-02-26T13:11:13Z,,,,"A lodging staple for budget-minded road-trippers and business travelers. In ShortSince the Ramada brand made its debut in 1954 in Flagstaff, Ariz., the hotel franchise has been offering dependable accommodations with budget-wise perks. Families appreciate the kids-stay-free policy for children 17 and under staying with their parents. Other amenities usually include a swimming pool, full-service restaurant, lounge, in-room data ports and voice mail. Group rates--for wedding parties, corporate groups or family reunions--are available for parties requiring 10 or more rooms per night.",,,Contributor,
31916,280 E Mel Ave,"Resorts,Hotels,Lodging,Motels",Palm Springs,US,33.840755,-116.54468,Helios Resort,92262,Palm Springs Municipal Airpo,,2016-06-06T16:20:42Z,,,3.0,"Have been staying at this resort for so many years, and current management knows how to pamper the guests with breakfast buffet and poolside misting sprays for super hot days. Jaccuzzi is large and always at the right temperature. Pool is refreshing and music plays softly throughout the afternoons. There is a play-area were guests can explore their BDSM side, but the area has become run down and could use some repair of suspension posts and spanking tables. Easy stroll to center of town, and nearby Riveria Hotel is a retro-dream.",Great LIttle Hideaway,,CactusJohn,
13846,3100 Regency Pkwy,Hotels,Cary,US,35.73348,-78.78996,Extended Stay America - Raleigh - Cary - Regency Parkway S,27511,NC,2014-03-14T00:00:00Z,2016-11-05T19:13:28Z,,,5.0,The hotel was really nice and the price was right. The only thing that was a negative would have been. My friend was in the shower and I was asleep. No bath cloths were in the room and when called to tell them to have house keeping bring me some wash clothes. She stated I would have to come get them. She was already in the shower and I didn't wanna get up yet. So I was super I'll about that. Otherwise than that great stay.,Great stay,Nashville,A Traveler,TN
20662,850 Bayview Ave,"Hotels,Casinos",Biloxi,US,30.411692,-88.890249,Ip Casino Resort Spa,39530,MS,2016-07-30T00:00:00Z,2017-03-02T17:51:10Z,,,2.0,Toilet overflowed in the am. Fight broke out outside our room. Had to call security. Room smelled of smoke even though non smoking room. Buffet line was an hour and a half. For 30 per person food was not good. Room was warm even though we lowered the thermostat.,Not worth the trouble,,A Traveler,
9841,2645 N W Inlet Ave,"Hotels,Lodging,Hotel,Motels",Lincoln City,US,44.98465469,-124.0137872,Pelican Shores Inn,97367,OR,2016-04-10T00:00:00Z,2016-11-17T14:29:44Z,,,9.6,"Couch smelled like a dog had slept there... Not a big fan of the pet friendly hotel model Fantastic ocean view, warm fire, and cozy accommodations ! A real coffee maker in the room was a bonus",In short... We plan to stay there again!,Newport,Jason,VT
34757,15494 Palmdale Rd,"Hotel,Hotels",Victorville,US,34.507220000000004,-117.32561000000001,Holiday Inn Victorville,92392,CA,2016-03-31T00:00:00Z,2015-10-21T17:43:42Z,,,5.0,"We chose this hotel because of the high ratings on Trip Advisor, and we were not disappointed at all. It is right at the intersection of Hwy 18 and Interstate 15 which was perfect for us. I reserved the room via the internet and check in was easy. Upon entry, it is evident that the hotel has undergone an entire... More",Very satisifed,Monterey Peninsula,Donald988,CA
25351,4420 Cleburne Blvd,Hotels,Dublin,US,37.072559999999996,-80.69685,Hampton Inn Dublin,24084,VA,2016-05-07T00:00:00Z,2016-11-11T17:16:59Z,,,5.0,"One of the better Hamptons I've stayed at. Clean, comfortable...would definitely stay here again.",Great for the price!,Macon,Daniel,
1757,926 J St,"Hotels,Hotel",Sacramento,US,38.580276700000006,-121.49380570000001,"The Citizen Hotel, Autograph Collection",95814,CA,2011-11-06T00:00:00Z,2017-03-30T14:12:08Z,,,4.8,"avoid room # 400. corner suite w/ a large tub, gorgeous room but noisy. i stayed for the weekend & the bar across the street is awfully loud till almost 2 am!!",,,Jeanne Bone,
12793,Paseo De Garay 5,"Hotel,Hotels",Norcross,US,37.981858,-1.124223,Hotel Silken Siete Coronas,30003,GA,2016-09-10T00:00:00Z,2016-11-09T01:08:29Z,,,5.0,"Un verdadero lujo de hotel, genial, moderno, cmodo, con todas las comodidades",Un verdadero lujo de hotel,london,A Traveler,IL
8954,2512 W Lincolnway,Hotels,Cheyenne,US,41.11915,-104.84949,Americas Best Value Inn,82001,WY,2016-08-24T00:00:00Z,2016-11-21T23:27:41Z,,,1.0,Rooms werent great and breakfast was so-so.,Vacation,,Jenifer,
2137,1 Wenonah Park Pl,"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",Bay City,US,43.596927,-83.891054,Doubletree By Hilton Hotel Bay City - Riverfront,48708,MI,2013-07-06T00:00:00Z,2017-02-24T10:25:45Z,,,5.0,Best place to stay for bay city fireworks :),A welcome cookie!,Flint,April Tewksbury Greenleaf,MI
34038,6 Rue Buffault,Hotels,Celina,US,48.875029999999995,2.34152,Hotel Eug��ne En Ville,75009,TX,2016-06-30T00:00:00Z,2016-11-17T15:07:24Z,,,1.0,"Terrible hotel. The room was tiny, and the front desk was awful. They were rude and arrogant. They ruined our trip to Paris. Watch your bill. I had items added that I did not order on it.",Just plain awful,,A Traveler,
35618,1154 Hurffville Rd,Hotels,West Deptford,US,39.834559999999996,-75.08841,Residence Inn By Marriott Deptford,8096,Woodbury,2014-10-30T00:00:00Z,2016-10-27T18:33:56Z,,,2.0,"This obviously is a hotel that has seen better days. The staff was great, however, the room was a huge disappointment. It is in desperate need of remodeling. The beds were horrible! Everything was just old!",Disappointing!,,A,
9234,50 N E Catawba Rd,Hotels,Port Clinton,US,41.52469,-82.85883000000001,Holiday Inn Express Hotel and Stes Port Clinton-catawba Island,43452,Middle Bass,2014-09-21T00:00:00Z,2016-11-04T22:39:37Z,,,5.0,"Everything was very nice and clean, the girls at the front desk were very helpful and ever so nice. Will go back when in the area again. .",very nice,,M.K.,
30894,12015 Harbor Blvd,Hotels,Garden Grove,US,33.788140000000006,-117.916591,Anaheim Marriott Suites,92840,CA,2015-10-18T00:00:00Z,2016-10-19T04:52:22Z,,,3.0,"Device was fine, same with location. Don't waste your time with the shuttle to DisneyLand especially during peak hours. Only have one driver and one bus at peek hours. They say it runs every 30 minutes. With it true but it doesn't hold enough so we had to wait for the same bus to come back. Sitting sitting for an... More",Just Ok,Chicago,Tommy M,IL
29698,100 S 4th St,Hotels,Huntingdon,US,40.48387,-78.01093,Comfort Inn Huntingdon,16652,PA,2014-03-06T00:00:00Z,2016-11-15T19:34:28Z,,,4.0,Good Hotel,Just Fine for the Price,Pittsburgh,Matt,PA
25265,7865 Perry Hwy,"Hotels,Hotels & Motels,Hotel",Erie,US,42.071304,-80.03911,Red Roof Inn Erie,16509-6642,PA,2016-09-04T00:00:00Z,2016-10-27T18:09:11Z,,,5.0,We went up to Erie for our anniversary. Had a great time and very happy with our room and how close it was to everything,Anniversary Trip,Hustonville,A Traveler,KY
11709,135 Route 28,Hotels,West Yarmouth,US,41.657447,-70.261804,Tidewater Inn,2673,Yarmouth,2015-09-15T00:00:00Z,2016-10-27T18:54:12Z,,,5.0,"Our Tidewater room was in the the rear area, near water with a lawn, chairs and a view of ducks and geese. Very relaxing. Staff was cordial and helpful. Room was clean, and beds were firm, but not hard. Excellent Wi-Fi reception. Both indoor and outdoor pools open- warm mid September.The Tidewater is not a super modern place, but we had no real complaints.",Room With A View.,Plainfield,A Traveler,
17735,620 N 6th St,"Convention & Meeting Facilities & Services,Accommodation Reservations,Hotels,Banquet Facilities,Accommodations & Lodging",Phoenix,US,33.45499,-112.06685,Holiday Inn Express & Suites Phoenix Downtown - Ballpark,85004,AZ,2015-10-16T00:00:00Z,2017-04-05T21:06:02Z,,,5.0,"It was a Good experience, I enjoyed all stay",Great Hotel,,Adanma,
13891,3100 Regency Pkwy,Hotels,Cary,US,35.73348,-78.78996,Extended Stay America - Raleigh - Cary - Regency Parkway S,27511,NC,2015-06-26T00:00:00Z,2016-11-05T19:13:28Z,,,5.0,"This hotel has been really the best I have visited in years-- especially as an extended stay hotel. The rooms are spacious, very clean have everything that a guest needs. Also, the staff have been the kindest and most hospitable front desk, housekeeping, maintenance staff. My 3 children, husband I have been guests at this hotel... More",Most highly recommended hotel in Raleigh- Cary area!,Cary,Christine F,NC
12757,Paseo De Garay 5,"Hotel,Hotels",Norcross,US,37.981858,-1.124223,Hotel Silken Siete Coronas,30003,GA,2013-11-15T00:00:00Z,2016-11-09T01:08:29Z,,,4.0,Thoroughly enjoyed the room with a view of the cathedral. Breakfast was amazing and so was room service.,Lovely friendly staff,london,Michaela,IL
8280,139 Days Inn Dr,"Hotels,Lodging,Hotel,Motels",Kuttawa,US,37.073741999999996,-88.12569,Days Inn Kuttawa,42055,KY,2016-06-18T00:00:00Z,2016-03-23T04:19:11Z,,,3.0,"Carpet was dirty, shower curtain was stinky and was overpriced for what it was. Was an ok stay though.",Ok,Dallas,BradleyandNicke... S,TX
31460,35 Via Pico Plz,Hotels,San Clemente,US,33.437538,-117.62173200000001,Holiday Inn Express San Clemente,92672,CA,2006-04-27T00:00:00Z,2016-10-31T23:19:52Z,,,4.0,"Convenient, but not comfy The beds at this hotel are like bricks. Absolutely horrible. So hard that you'll wake with aches and pains. And the pillows! Knotty, squashed. I've stayed here two weekends. The first time I hardly slept. The second time I brought my own pillows and quilts and slept much better. It is convenient, though.",Good stay for business,Carlsbad,janesmithtrades,CA
10781,5 Village Cir,"Hotel and Resort,Hotels",Roanoke,US,32.979372999999995,-97.16851199999999,Dallas/fort Worth Marriott Solana,76262,Trophy Club,2015-07-20T00:00:00Z,2016-06-04T22:34:30Z,,,4.0,"Located at an highway exit that has not yet fully developed has advantages and disadvantages. The area around the hotel feels more like a quiet office park on the weekends. While there are no restaurants within walking distance, there is a Starbucks on-site and the evening bar has full menu. THis is a nice, clean, quiet place to stay in the North Worth Worth - DFW- Grapevine area. No night life nearby. But if you want to relax after a long flight or drive, this is a good option.",Hidden Gem!,,Cliff,
30790,12015 Harbor Blvd,Hotels,Garden Grove,US,33.788140000000006,-117.916591,Anaheim Marriott Suites,92840,CA,2015-06-28T00:00:00Z,2016-10-19T04:52:22Z,,,5.0,"This was a great family friendly hotel that offered many dining options such as room service, a restaurant on the ground floor, as well as a short walk (as in--cross the street and you are at Red Robin, Outback, Joe's Crab Shack, and Oggi's), AND a Starbuck's in the lobby. There is a shuttle to Disneyland for a small fee... More",Family Disney Adventure,,devilsquid01,
33681,2300 Dulles Corner Blvd,Hotels,Herndon,US,,,Hyatt Dulles,20171,VA,2012-03-17T00:00:00Z,2017-04-12T18:38:48Z,,,5.0,Its ok. I've been in better hotels. Room service is not so great.,,,JESSICA Speigner,
13384,1201 Torgerson Dr,"Lodging,Business Hotels,Cottages,Wedding Reception Locations & Services,Luxury Hotels,Corporate Lodging,Hotels,Banquet Halls & Reception Facilities,Family-Friendly Hotels,Hotels & Motels,Budget Hotels,Beach Hotels,Resorts,Tourist Hotels,Weekend Getaway Hotels,Motels",Fairmont,US,43.676471,-94.446189,Super 8 Motel Fairmont,56031,MN,2016-04-27T00:00:00Z,2016-10-26T21:51:14Z,,,5.0,The assistant manager Teresa of this hotel was so wonderful and polite and took extremely good care of me while I was here this week and I was a first time visitor. Laura in housekeeping checked on me every day to make sure that I had every thing that I needed from housekeeping. This week I was working overnight and... More,Corp. Food safety auditor,calgary,James S,
7208,Jalan Mh Thamrin,Hotels,Staten Island,US,-6.195424,106.823673,Mandarin Oriental Jakarta,10310,NY,2016-08-30T00:00:00Z,2016-11-06T21:04:37Z,,,5.0,Lovely friendly helpful staff.  Over and above.  Otherwise exactly as i expected.,A oasis from the craziness of Jakarta,,Maxence,Jakarta
23915,501 National St,"Hotels,Hotels & Motels",Belle Fourche,US,44.66265,-103.85426,Super 8 Belle Fourche,57717,Willet,2016-01-04T00:00:00Z,2016-10-30T18:26:41Z,,,3.0,"Stayed here while visiting relatives in the nearby nursing home over the holidays. It was clean, quiet, a good value and an adequate breakfast.",Good value.,Columbus,ronniel841,NE
23425,323 Route 52 (kennett Pike),Hotels,Mendenhall,US,39.85972,-75.64614,Inn At Mendenhall,19357,PA,2015-08-30T00:00:00Z,2016-10-28T20:25:13Z,,,3.0,"Took my mom to see a concert at Longwood Gardens. The Inn was very nice. When checking in, I inquired until what time breakfast was served and was informed 10:30am the next morning (Monday).We had a wonderful dinner at the hotel's restaurant and then went to the concert. We took our time getting ready the next morning thinking that breakfast was served until 10:30am. We got to the breakfast area at 10am and the area was closed. When I stated that I had been told that breakfast was served until 10:30, I was informed that that was on the weekend. The staff was very nice and offered us fruit and juice but we really wanted to have breakfast so we then checked out...very disappointing! It would have been a four star getaway except for the breakfast miscommunication.",Quiet n comfortable,,ANN,
4597,200 Creekside Dr,"Wedding Sites,Hotels,Hotels & Motels,Meeting Facilities",Canyonville,US,42.9414,-123.28993999999999,Holiday Inn Express and Suites Canyonville,97417,OR,2016-07-01T00:00:00Z,2016-11-02T00:13:59Z,,,4.0,"ok,the best part was the helpful young receptionist who gave us tips about where to eat.",Friendly staff,,Charles,
495,375 Main St,"Hotels,Hotel",Waterville,US,44.57059,-69.64012,Best Western Plus Waterville Grand Hotel,4901,ME,2015-07-14T00:00:00Z,2016-10-27T13:17:27Z,,,4.0,Stayed overnight for pleasure. Room was clean and well equipped. Pool was great.,"Good, but needs better WiFi",Belmont NH,A verified traveler,New York
17021,250 Pacific St,Hotels,Morro Bay,US,35.364612,-120.85115900000001,Best Western Plus San Marcos Inn,93442,CA,2015-07-29T00:00:00Z,2016-11-03T15:30:38Z,,,4.0,Very nice area and view of the harbor. Nice staff. Local wine and cheese plate was a bonus.,"Hotel w many amenities, easy walk to Embarcadero",Montreal,A Traveler,NC
