CustomerID,Frequency,AmountSpent
13611,13,28.35
13614,37,131.49
13615,3,13.85
13617,9,29.03
13618,3,0.87
13621,3,7.05
13623,7,37.65
13626,4,10.94
13627,27,70.17
13629,11,38.18
13630,18,37.28
13631,4,27.7
13632,31,84.37
13634,33,105.94
13635,9,20.77
13636,16,51.56
13637,23,60.14
13638,3,14.42
13639,5,5
13642,12,22.09
13643,2,4.16
13644,21,46.35
13645,1,2.55
13647,13,38.37
13649,5,10.55
13650,15,42.57
13651,2,18.75
13652,12,53.1
13654,26,73.14
13655,10,19.09
13656,10,27.1
13657,5,9.11
13658,20,54.38
13659,20,76.18
13662,11,40.75
13663,3,16.92
13666,5,20.65
13667,19,49.35
13668,93,254.92
13669,2,3.01
13670,4,4.35
13672,2,8.44
13673,10,24.33
13675,5,7.32
13678,4,1.76
13680,42,103.04
13681,6,18.4
13682,1,4.25
13684,10,18.1
13685,7,4.39
13686,1,2.1
13689,1,1.79
13690,1,0.65
13692,9,61.07
13693,2,9.2
13694,122,193.44
13695,22,52.15
13697,5,5.42
13699,3,16.69
13700,44,69.4
13704,23,74.84
13705,6,172.79
13706,6,29.48
13707,10,46.1
13708,7,8.97
13709,58,205.38
13710,1,1.65
13711,1,9.95
13712,2,1.11
13715,18,37.79
13716,3,3.59
13717,17,35.85
13718,1,7.95
13719,6,12.28
13720,10,31.9
13721,8,18.54
13722,14,48.05
13725,14,81.25
13726,6,4.62
13727,3,5.3
13728,10,55.4
13730,7,19.41
13731,3,8.45
13732,5,6.65
13735,36,180.87
13736,34,71.77
13737,6,30.3
13740,5,10.43
13741,5,11.63
13742,62,285.38
13743,6,8.1
13744,17,25.36
13745,5,3.5
13748,6,19.14
13750,2,14.2
13751,2,8.37
13752,12,68.15
13753,5,5.42
13754,4,7.45
13755,59,148.3
13756,26,63.27
13758,21,54.64
13759,4,12.14
13760,8,13.05
13761,5,16.37
13762,6,7.37
13763,4,10.24
13764,44,126.61
13767,63,256.19
13769,25,77.82
13771,16,50.19
13772,30,91.95
13774,4,8.1
13777,49,99.76
13778,3,11.8
13780,11,23.5
13781,4,9.68
13782,27,69.8
13784,5,7.93
13787,5,17.89
13790,8,2.62
13791,4,5.07
13792,2,18.45
13798,83,205.29
13799,12,33.8
13800,4,12.6
13801,6,26.85
13802,13,45.18
13804,24,82.21
13805,2,1.87
13806,2,15.7
13807,2,9.6
13808,14,43.35
13809,4,38.6
13810,10,24.96
13811,5,41.25
13812,7,26.98
13813,14,39.82
13814,8,33.75
13815,27,59.12
13816,8,30.95
13817,2,6.2
13819,6,13.7
13821,14,62.11
13822,22,32.59
13823,11,43.54
13824,8,22.34
13826,2,10.5
13827,15,54.22
13828,2,3.3
13831,13,54.2
13832,1,1.45
13833,8,43
13835,9,25.38
13837,4,7.53
13838,37,108.92
13842,34,161.98
13844,5,13.12
13845,3,7.53
13846,5,32.55
13849,15,52.12
13850,13,28.42
13851,20,45.07
13853,2,3.73
13854,31,122.15
13856,4,3.3
13859,6,10.58
13860,11,44.31
13862,27,42.48
13863,7,22.44
13865,4,9.3
13866,1,2.95
13867,14,61.93
13868,10,22.4
13869,56,176.69
13870,23,88.07
13871,65,212.76
13873,3,9.39
13874,2,3.8
13875,18,23.74
13876,1,4.95
13878,9,53.23
13880,32,115.07
13881,30,70.05
13882,20,85.43
13883,28,86.09
13884,11,41.8
13885,9,32.8
13886,6,25.35
13887,1,5.45
13888,5,24.19
13889,3,12
13890,28,94.81
13892,12,13.42
13893,3,20.85
13894,1,2.1
13895,25,87.6
13897,5,6.07
13899,3,10.45
13900,8,33.68
13901,26,77.65
13904,7,8.75
13908,20,42.15
13911,20,45.65
13914,8,15.52
13917,5,4.97
13918,4,8.8
13919,6,3.75
13922,4,21.6
13923,2,1.21
13924,23,67.04
13925,12,110.42
13926,2,40.37
13927,4,15.2
13928,4,24.34
13929,1,9.95
13930,3,7.55
13931,10,26.78
13932,3,20.25
13933,3,5.85
13934,11,35.85
13936,5,8.94
13937,3,2.75
13938,1,0.83
13939,9,7.75
13940,8,28.74
13941,12,34.1
13946,1,4.95
13947,1,1.65
13949,31,49.74
13950,6,29.03
13951,7,18.02
13952,30,126.69
13953,3,4.6
13954,5,28.15
13955,7,22.69
13956,28,85.69
13958,2,15.7
13959,16,32.67
13960,2,3.8
13962,2,3.2
13963,8,25.05
13969,128,330.16
13971,32,78.44
13972,6,14.82
13974,7,10.28
13975,63,145.58
13976,1,3.75
13978,5,4.09
13979,12,21.55
13980,2,12.79
13982,25,53.79
13983,21,69.28
13984,3,8.96
13985,52,103.58
13986,4,8
13988,46,132.57
13989,7,19.98
13990,3,5.05
13991,20,31.27
13992,1,0.85
13993,22,106.7
13994,29,96.91
13995,11,13.63
13999,49,106.03
14000,2,1.14
14001,14,47.66
14002,10,7.69
14004,36,85.97
14005,15,60.21
14006,3,4.55
14009,6,24.1
14012,1,4.95
14013,4,3.52
14014,9,5.92
14015,3,10.89
14016,22,108.84
14019,11,20.13
14020,6,18.36
14021,4,22.4
14022,5,8.12
14023,7,18.05
14024,5,12.01
14027,2,4.16
14029,3,20.09
14030,34,104.49
14031,39,154.01
14032,33,63.39
14034,15,22.73
14035,10,17.19
14036,11,41.87
14037,4,13.4
14038,28,52.07
14039,2,3.3
14040,35,136.83
14041,3,8.3
14044,32,93
14045,2,10.15
14046,5,1.38
14047,9,44.25
14048,24,49.64
14049,97,242.06
14050,12,18.27
14051,48,219.28
14052,4,11.8
14053,1,1.95
14054,1,1.65
14055,3,24.6
14056,217,632.62
14057,54,97.55
14060,35,42.74
14062,19,52.37
14064,17,28.59
14067,7,6.26
14068,3,15.7
14071,60,146.74
14073,1,2.08
14075,6,14.63
14076,7,24.1
14077,7,17.93
14078,6,17.95
14080,2,2.1
14081,34,105.78
14082,3,15.85
14083,33,109.97
14085,68,151.27
14087,11,15.62
14088,114,547.14
14089,1,1.65
14092,38,122.86
14093,21,40.85
14096,968,9070.44
14098,3,10.08
14099,55,143.57
14100,4,15.5
14101,5,8.04
14102,16,34.34
14104,5,23.65
14105,21,70.81
14107,27,57.25
14108,4,4.87
14109,3,4.2
14110,29,74.57
14111,1,0.55
14112,38,114.86
14113,8,19.95
14114,4,25.14
14116,13,44.4
14121,25,54.93
14125,29,105.91
14126,2,4.9
14127,7,34.58
14128,7,19.55
14129,12,31.67
14130,10,43.95
14132,39,68.56
14133,11,60.13
14135,31,86.63
14138,6,12.02
14139,2,3.31
14140,17,25.31
14141,8,29
14142,2,3.24
14143,2,7.5
14145,1,4.95
14146,33,90.31
14147,1,8.5
14149,5,8.73
14150,6,9.56
14152,7,5.64
14154,11,249.58
14155,1,5.95
14156,255,944.23
14157,12,30.37
14158,9,10.38
14159,234,332.59
14161,17,49.68
14162,2,1.74
14163,8,37.03
14164,6,11.18
14165,2,5.05
14167,3,18.45
14171,12,36
14173,3,18.2
14174,6,9.32
14175,34,146.94
14176,5,13.45
14177,5,18.24
14178,56,77.7
14179,35,94.67
14180,50,560.55
14184,5,33.55
14188,16,37.07
14189,47,119.43
14191,37,93.02
14193,9,18.59
14194,105,341.51
14195,2,17.6
14196,2,4
14198,6,34.6
14201,10,37.77
14204,9,35.77
14205,10,35.13
14206,4,5.57
14208,2,17.45
14209,13,57.95
14210,18,63.6
14211,25,69.62
14212,2,1.14
14213,2,12.6
14214,12,37.15
14215,25,56.33
14216,13,42.89
14217,22,118.02
14218,3,2.89
14219,3,6.24
14220,4,6.03
14221,36,122.3
14222,5,9.02
14223,16,73.31
14224,19,62.63
14226,14,55.08
14227,32,97.08
14229,8,41.74
14231,11,33.51
14232,19,30.76
14233,7,16.99
14234,31,55.3
14235,15,37.5
14236,1,0.42
14237,5,33.55
14238,1,0.65
14239,23,87.23
14240,9,18.48
14241,3,5.25
14242,3,17.65
14243,29,112.17
14245,23,62.82
14246,16,41.44
14247,5,27.75
14248,1,0.85
14250,23,53.27
14251,12,21.36
14256,12,48.88
14257,15,26.61
14258,32,119.79
14261,8,58.24
14262,30,56.3
14264,2,13.2
14265,3,22.02
14267,14,77.92
14270,4,14
14271,2,3.37
14272,6,6.96
14273,8,20.36
14276,8,13.33
14277,43,215.34
14280,1,1.65
14282,20,25.22
14284,8,35.1
14285,4,18.94
14286,50,79.32
14287,3,7.75
14288,4,7.5
14289,11,58.13
14290,13,79.8
14291,39,130.15
14292,22,78.43
14293,8,15.75
14297,14,36.78
14298,294,424.04
14299,24,80.87
14301,6,9
14304,8,27.15
14305,18,36.71
14306,5,30.27
14307,31,71.88
14309,31,77.02
14311,7,24.13
14312,20,64.67
14314,1,0.19
14315,24,59.88
14317,6,27.55
14320,5,19.4
14321,27,42.27
14323,11,30.09
14326,2,5.5
14327,2,5.05
14329,57,140.82
14331,5,9.15
14332,6,14.94
14333,5,49.95
14334,39,134.17
14335,8,15.94
14336,14,23.44
14338,5,18.55
14339,3,6.35
14340,1,3.75
14341,25,37.92
14342,5,37.44
14344,13,23.74
14345,2,8
14346,11,41.22
14348,1,1.45
14349,9,21.58
14350,6,14.28
14352,8,32.14
14354,2,4.14
14355,1,3.75
14356,6,22.6
14357,8,14.27
14359,13,53.95
14360,18,73.5
14362,7,15.79
14364,9,36.7
14367,89,294.35
14371,1,4.95
14375,13,34.03
14377,1,1.25
14379,8,29.97
14381,14,15.64
14382,20,28.43
14383,10,61.09
14385,5,7.41
14386,1,0.85
14387,25,89.64
14388,37,77.05
14389,10,12.37
14390,57,155.34
14395,71,186.5
14396,17,55.37
14397,11,13.73
14400,3,2.73
14401,35,47.14
14403,5,31.95
14404,17,72.69
14406,1,9.95
14407,15,46.92
14408,21,38.97
14409,18,81.42
14410,53,128.74
14411,4,37.1
14412,7,13.58
14413,3,10.85
14414,17,13.9
14415,106,338.17
14416,3,6.39
14418,25,97.21
14419,28,72.84
14420,4,4.68
14421,6,13.85
14422,46,112.56
14423,1,0.85
14426,50,137.4
14427,4,9.37
14428,24,143.23
14431,4,27.15
14432,81,120.51
14434,3,9.75
14436,2,3.2
14437,2,2.3
14438,2,3.9
14439,11,70.15
14440,12,65.17
14441,9,62.83
14442,14,84.54
14443,18,39.7
14446,44,77.65
14447,12,29.44
14448,2,3.4
14449,58,91.95
14450,5,16.2
14451,22,40.35
14452,15,39.8
14453,5,17.45
14456,180,315.17
14459,7,21.76
14460,2,0.75
14461,29,114.47
14462,37,97.59
14463,1,10.95
14465,18,44.1
14466,16,61.8
14467,17,59.15
14470,7,23.15
14472,57,175.65
14473,3,16.4
14474,9,61.04
14475,8,19.33
14476,2,11.2
14477,2,3.87
14479,3,8.45
14480,1,4.95
14481,7,12.29
14482,26,75.49
14484,3,9.35
14485,9,17.78
14487,22,78.09
14488,10,16.37
14489,3,4.58
14491,3,13
14493,21,40.77
14494,2,3.1
14495,1,2.08
14496,7,35.39
14497,1,7.95
14498,32,61.79
14499,36,69.99
14500,2,7.05
14502,118,279.41
14503,44,117.17
14504,18,85.28
14505,159,508.21
14506,76,242.86
14507,15,55.1
14508,15,75.32
14511,19,36.33
14512,3,7.15
14513,4,11.9
14514,11,46.35
14515,25,75.74
14517,2,11.45
14518,2,6.24
14520,1,2.08
14522,4,9.3
14523,1,2.95
14524,35,198.47
14525,55,209.49
14527,193,1289.74
14528,3,6.27
14529,37,91.13
14530,37,169.16
14532,9,54.37
14533,8,8.12
14534,95,327.33
14535,59,150.81
14536,2,13.45
14537,2,7.54
14538,3,15.4
14539,5,5.24
14540,16,59.44
14541,24,63.07
14542,3,16.15
14543,24,156.75
14544,27,44.63
14546,75,202.66
14547,54,164.86
14548,3,7.65
14549,7,30.45
14550,10,31.05
14551,4,18.78
14552,8,16.08
14553,20,49.72
14554,41,92.77
14555,2,8.5
14557,6,9.67
14560,12,49.51
14561,12,27.88
14562,74,302.91
14565,30,70.56
14567,5,25.39
14569,2,5.05
14570,6,19.34
14572,51,127.48
14573,41,209.04
