segment,google,facebook,instagram,sales,size,is_large,area,area_suburban,area_urban
143,220.5,33.2,37.9,20.1,small,0,suburban,1,0
144,104.6,5.7,34.4,10.4,small,0,suburban,1,0
145,96.2,14.8,38.9,11.4,small,0,urban,0,1
146,140.3,1.9,9,10.3,large,1,suburban,1,0
147,240.1,7.3,8.7,13.2,small,0,suburban,1,0
148,243.2,49,44.3,25.4,large,1,urban,0,1
149,38,40.3,11.9,10.9,small,0,urban,0,1
150,44.7,25.8,20.6,10.1,small,0,urban,0,1
151,280.7,13.9,37,16.1,large,1,urban,0,1
152,121,8.4,48.7,11.6,large,1,urban,0,1
153,197.6,23.3,14.2,16.6,small,0,suburban,1,0
154,171.3,39.7,37.7,19,small,0,urban,0,1
155,187.8,21.1,9.5,15.6,small,0,suburban,1,0
156,4.1,11.6,5.7,3.2,large,1,suburban,1,0
157,93.9,43.5,50.5,15.3,large,1,urban,0,1
158,149.8,1.3,24.3,10.1,large,1,rural,0,0
159,11.7,36.9,45.2,7.3,small,0,rural,0,0
160,131.7,18.4,34.6,12.9,large,1,urban,0,1
161,172.5,18.1,30.7,14.4,small,0,suburban,1,0
162,85.7,35.8,49.3,13.3,small,0,suburban,1,0
163,188.4,18.1,25.6,14.9,small,0,suburban,1,0
164,163.5,36.8,7.4,18,small,0,urban,0,1
165,117.2,14.7,5.4,11.9,large,1,urban,0,1
166,234.5,3.4,84.8,11.9,large,1,rural,0,0
167,17.9,37.6,21.6,8,large,1,suburban,1,0
168,206.8,5.2,19.4,12.2,large,1,rural,0,0
169,215.4,23.6,57.6,17.1,small,0,suburban,1,0
170,284.3,10.6,6.4,15,large,1,rural,0,0
171,50,11.6,18.4,8.4,large,1,suburban,1,0
172,164.5,20.9,47.4,14.5,small,0,suburban,1,0
173,19.6,20.1,17,7.6,large,1,rural,0,0
174,168.4,7.1,12.8,11.7,large,1,urban,0,1
175,222.4,3.4,13.1,11.5,large,1,rural,0,0
176,276.9,48.9,41.8,27,small,0,urban,0,1
177,248.4,30.2,20.3,20.2,large,1,suburban,1,0
178,170.2,7.8,35.2,11.7,large,1,urban,0,1
179,276.7,2.3,23.7,11.8,large,1,suburban,1,0
180,165.6,10,17.6,12.6,small,0,suburban,1,0
181,156.6,2.6,8.3,10.5,small,0,urban,0,1
182,218.5,5.4,27.4,12.2,small,0,suburban,1,0
183,56.2,5.7,29.7,8.7,large,1,rural,0,0
184,287.6,43,71.8,26.2,small,0,urban,0,1
185,253.8,21.3,30,17.6,small,0,suburban,1,0
186,205,45.1,19.6,22.6,large,1,urban,0,1
187,139.5,2.1,26.6,10.3,small,0,suburban,1,0
188,191.1,28.7,18.2,17.3,large,1,rural,0,0
189,286,13.9,3.7,15.9,small,0,urban,0,1
190,18.7,12.1,23.4,6.7,small,0,rural,0,0
191,39.5,41.1,5.8,10.8,large,1,suburban,1,0
192,75.5,10.8,6,9.9,large,1,rural,0,0
193,17.2,4.1,31.6,5.9,small,0,suburban,1,0
194,166.8,42,3.6,19.6,small,0,suburban,1,0
195,149.7,35.6,6,17.3,large,1,rural,0,0
196,38.2,3.7,13.8,7.6,small,0,suburban,1,0
197,94.2,4.9,8.1,9.7,small,0,urban,0,1
198,177,9.3,6.4,12.8,small,0,suburban,1,0
199,283.6,42,66.2,25.5,small,0,rural,0,0
200,232.1,8.6,8.7,13.4,large,1,rural,0,0
