id,tv,radio,newspaper,sales,size,area
171,50,11.6,18.4,8.4,large,suburban
172,164.5,20.9,47.4,14.5,small,suburban
173,19.6,20.1,17,7.6,large,rural
174,168.4,7.1,12.8,11.7,large,urban
175,222.4,3.4,13.1,11.5,large,rural
176,276.9,48.9,41.8,27,small,urban
177,248.4,30.2,20.3,20.2,large,suburban
178,170.2,7.8,35.2,11.7,large,urban
179,276.7,2.3,23.7,11.8,large,suburban
180,165.6,10,17.6,12.6,small,suburban
181,156.6,2.6,8.3,10.5,small,urban
182,218.5,5.4,27.4,12.2,small,suburban
183,56.2,5.7,29.7,8.7,large,rural
184,287.6,43,71.8,26.2,small,urban
185,253.8,21.3,30,17.6,small,suburban
186,205,45.1,19.6,22.6,large,urban
187,139.5,2.1,26.6,10.3,small,suburban
188,191.1,28.7,18.2,17.3,large,rural
189,286,13.9,3.7,15.9,small,urban
190,18.7,12.1,23.4,6.7,small,rural
191,39.5,41.1,5.8,10.8,large,suburban
192,75.5,10.8,6,9.9,large,rural
193,17.2,4.1,31.6,5.9,small,suburban
194,166.8,42,3.6,19.6,small,suburban
195,149.7,35.6,6,17.3,large,rural
196,38.2,3.7,13.8,7.6,small,suburban
197,94.2,4.9,8.1,9.7,small,urban
198,177,9.3,6.4,12.8,small,suburban
199,283.6,42,66.2,25.5,small,rural
200,232.1,8.6,8.7,13.4,large,rural
